Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"yalk_overload";"ubsi.yalk.overload.-12 В.57.70";"ЯЛК: -12 В на 57, наблюдение 70";810.75;"код";806;816;"НОРМА";"baseline_code=811.000000; current_code=810.750000; delta_code=-0.250000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=70; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.74";"ЯЛК: -12 В на 57, наблюдение 74";826.75;"код";821.5;831.5;"НОРМА";"baseline_code=826.500000; current_code=826.750000; delta_code=0.250000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=74; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.75";"ЯЛК: -12 В на 57, наблюдение 75";846;"код";840.75;850.75;"НОРМА";"baseline_code=845.750000; current_code=846.000000; delta_code=0.250000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=75; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.76";"ЯЛК: -12 В на 57, наблюдение 76";844.25;"код";839.25;849.25;"НОРМА";"baseline_code=844.250000; current_code=844.250000; delta_code=0.000000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=76; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.77";"ЯЛК: -12 В на 57, наблюдение 77";849;"код";842.25;852.25;"НОРМА";"baseline_code=847.250000; current_code=849.000000; delta_code=1.750000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=77; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.78";"ЯЛК: -12 В на 57, наблюдение 78";865.25;"код";861;871;"НОРМА";"baseline_code=866.000000; current_code=865.250000; delta_code=-0.750000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=78; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.79";"ЯЛК: -12 В на 57, наблюдение 79";858.5;"код";852.75;862.75;"НОРМА";"baseline_code=857.750000; current_code=858.500000; delta_code=0.750000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=79; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.80";"ЯЛК: -12 В на 57, наблюдение 80";867.5;"код";863.5;873.5;"НОРМА";"baseline_code=868.500000; current_code=867.500000; delta_code=-1.000000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=80; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.81";"ЯЛК: -12 В на 57, наблюдение 81";873;"код";869;879;"НОРМА";"baseline_code=874.000000; current_code=873.000000; delta_code=-1.000000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=81; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.57.82";"ЯЛК: -12 В на 57, наблюдение 82";880;"код";875.75;885.75;"НОРМА";"baseline_code=880.750000; current_code=880.000000; delta_code=-0.750000; impact_count=160; impact_index=133; lower_delta_code=-5.000000; observed_channel=82; polarity=-12 В; stressed_channel=57; upper_delta_code=5.000000"
