Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"yalk_initial";"ubsi.yalk.initial.signal.43";"ЯЛК адрес 43: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.45";"ЯЛК адрес 45: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=45; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.45";"ЯЛК адрес 45: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.46";"ЯЛК адрес 46: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=46; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.46";"ЯЛК адрес 46: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.47";"ЯЛК адрес 47: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=47; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.47";"ЯЛК адрес 47: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.48";"ЯЛК адрес 48: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=48; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.48";"ЯЛК адрес 48: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.49";"ЯЛК адрес 49: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=49; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.49";"ЯЛК адрес 49: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.50";"ЯЛК адрес 50: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=50; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.50";"ЯЛК адрес 50: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.51";"ЯЛК адрес 51: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=51; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.51";"ЯЛК адрес 51: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.52";"ЯЛК адрес 52: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=52; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.52";"ЯЛК адрес 52: исходный сигнал";1;"лог.";1;1;"OK";""
"yalk_initial";"ubsi.yalk.initial.53";"ЯЛК адрес 53: обрыв";-0.969493;"В";-6.2;-1e-12;"OK";"analog_code=0.000000; raw=1024.000000; signal=1; ulk_address=53; yalk_v=-0.969493"
"yalk_initial";"ubsi.yalk.initial.signal.53";"ЯЛК адрес 53: исходный сигнал";1;"лог.";1;1;"OK";""
