Этап;Параметр;Наименование;Измерено;Единица;Нижняя граница;Верхняя граница;Результат;Атрибуты
"yalk_overload";"ubsi.yalk.overload.-12 В.34.39";"ЯЛК: -12 В на 34, наблюдение 39";610.75;"код";605.75;615.75;"НОРМА";"baseline_code=610.750000; current_code=610.750000; delta_code=0.000000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=39; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.40";"ЯЛК: -12 В на 34, наблюдение 40";618.75;"код";613.25;623.25;"НОРМА";"baseline_code=618.250000; current_code=618.750000; delta_code=0.500000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=40; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.41";"ЯЛК: -12 В на 34, наблюдение 41";615.75;"код";611;621;"НОРМА";"baseline_code=616.000000; current_code=615.750000; delta_code=-0.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=41; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.42";"ЯЛК: -12 В на 34, наблюдение 42";623.5;"код";619;629;"НОРМА";"baseline_code=624.000000; current_code=623.500000; delta_code=-0.500000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=42; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.43";"ЯЛК: -12 В на 34, наблюдение 43";631;"код";626.75;636.75;"НОРМА";"baseline_code=631.750000; current_code=631.000000; delta_code=-0.750000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=43; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.45";"ЯЛК: -12 В на 34, наблюдение 45";650.75;"код";645.25;655.25;"НОРМА";"baseline_code=650.250000; current_code=650.750000; delta_code=0.500000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=45; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.46";"ЯЛК: -12 В на 34, наблюдение 46";653;"код";648.25;658.25;"НОРМА";"baseline_code=653.250000; current_code=653.000000; delta_code=-0.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=46; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.47";"ЯЛК: -12 В на 34, наблюдение 47";648.25;"код";642.75;652.75;"НОРМА";"baseline_code=647.750000; current_code=648.250000; delta_code=0.500000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=47; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.48";"ЯЛК: -12 В на 34, наблюдение 48";662.25;"код";657.5;667.5;"НОРМА";"baseline_code=662.500000; current_code=662.250000; delta_code=-0.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=48; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.49";"ЯЛК: -12 В на 34, наблюдение 49";668.75;"код";663.5;673.5;"НОРМА";"baseline_code=668.500000; current_code=668.750000; delta_code=0.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=49; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.50";"ЯЛК: -12 В на 34, наблюдение 50";677.5;"код";671.5;681.5;"НОРМА";"baseline_code=676.500000; current_code=677.500000; delta_code=1.000000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=50; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.51";"ЯЛК: -12 В на 34, наблюдение 51";682.5;"код";678.25;688.25;"НОРМА";"baseline_code=683.250000; current_code=682.500000; delta_code=-0.750000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=51; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.52";"ЯЛК: -12 В на 34, наблюдение 52";688.5;"код";683.25;693.25;"НОРМА";"baseline_code=688.250000; current_code=688.500000; delta_code=0.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=52; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.53";"ЯЛК: -12 В на 34, наблюдение 53";698;"код";694;704;"НОРМА";"baseline_code=699.000000; current_code=698.000000; delta_code=-1.000000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=53; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.54";"ЯЛК: -12 В на 34, наблюдение 54";698.25;"код";693.5;703.5;"НОРМА";"baseline_code=698.500000; current_code=698.250000; delta_code=-0.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=54; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.55";"ЯЛК: -12 В на 34, наблюдение 55";724.5;"код";720.75;730.75;"НОРМА";"baseline_code=725.750000; current_code=724.500000; delta_code=-1.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=55; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.56";"ЯЛК: -12 В на 34, наблюдение 56";714.5;"код";709.25;719.25;"НОРМА";"baseline_code=714.250000; current_code=714.500000; delta_code=0.250000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=56; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
"yalk_overload";"ubsi.yalk.overload.-12 В.34.57";"ЯЛК: -12 В на 34, наблюдение 57";725;"код";720;730;"НОРМА";"baseline_code=725.000000; current_code=725.000000; delta_code=0.000000; impact_count=160; impact_index=111; lower_delta_code=-5.000000; observed_channel=57; polarity=-12 В; stressed_channel=34; upper_delta_code=5.000000"
