Этап;Пункт ТУ;Параметр;Адрес УЛК;Код ИСД;Raw;Код ЯЛК;Сигнал;В7, В;ЯЛК, В;Абсолютная погрешность, В;Приведённая погрешность, %;Относительная погрешность, %;Нижний допуск;Верхний допуск;Итог;Сообщение
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 55: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 56: обрыв, аналоговый вход";"56";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 56: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 57: обрыв, аналоговый вход";"57";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 57: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 58: обрыв, аналоговый вход";"58";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 58: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 59: обрыв, аналоговый вход";"59";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 59: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 60: обрыв, аналоговый вход";"60";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 60: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 61: обрыв, аналоговый вход";"61";"";"1024.000000";"0.000000";"1";"";"-0.971178";"";"";"";-6.2;0;"НОРМА";""
"Обрыв и исходное отключённое состояние 80 входов ЯЛК";"1.1.4.10";"ЯЛК адрес 61: исходный сигнал";"";"";"";"";"";"";"";"";"";"";1;1;"НОРМА";""
